Cave Rock	OR	2	42.3093	-124.4168
Cave Rocks	CA	2	33.5570	-116.7014
Cavern Point	CA	2	34.0558	-119.5632
Caves Camp	OR	1	42.1790	-123.3378
Cavin	CA	0	34.3953	-118.8495
Cavin Swamp	OR	2	44.4185	-118.2647
Cavitt Creek Falls Recreation Site	OR	1	43.2012	-123.0226
Cavitt Lake	OR	2	43.1442	-122.8953
Cavitt Mountain	OR	2	43.1607	-122.7345
Cayada Mountain	WA	2	47.0107	-121.8401
Caymus Park	CA	1	38.4624	-121.3663
Cayou Island	WA	2	48.4798	-122.8299
